Dealer_Code,Region,City_Tier,Dealer_Since,Month,Order_Volume_Index,Target_Index,Achievement_Percent,Order_Value_Index,Premium_Mix_Percent,Order_To_Dispatch_Days,On_Time_Dispatch_Percent,Short_Supply_Incidents,Complaints_Raised,Complaints_Closed,Open_Complaint_Age_Days,Top_Defect_Category,Outstanding_Index,Overdue_Days,Credit_Utilisation_Percent,Training_Sessions_Attended,Fabrication_Audit_Score,Risk_Level,Notes
Dealer A,West,Metro,2018,2025-10,98.1,102.9,95.4,136.6,33.1,10.1,74.9,1,0,0,0,None,58.6,0,43.0,2,94.9,Best,
Dealer A,West,Metro,2018,2025-11,106.8,110.5,96.7,131.5,31.8,11.6,72.2,1,2,2,11,Surface mark,54.1,0,54.6,2,95.5,Best,
Dealer A,West,Metro,2018,2025-12,90.1,94.1,95.8,120.8,31.4,11.8,70.4,1,2,1,37,Reinforcement omission,63.6,0,79.3,0,95.4,Best,
Dealer A,West,Metro,2018,2026-01,101.5,105.6,96.2,123.4,33.8,10.9,70.8,1,1,1,26,Hardware fitment,55.0,0,44.3,1,94.8,Best,
Dealer A,West,Metro,2018,2026-02,102.8,107.4,95.7,137.0,35.6,11.3,72.7,1,2,2,14,Reinforcement omission,52.9,0,72.4,2,95.8,Best,
Dealer A,West,Metro,2018,2026-03,98.9,102.0,97.0,120.0,30.4,12.6,73.0,0,0,0,0,None,53.7,0,54.6,0,94.7,Best,
Dealer A,West,Metro,2018,2026-04,107.4,112.8,95.3,144.6,32.4,10.2,72.6,1,1,1,17,Reinforcement omission,55.3,0,79.3,2,95.6,Best,
Dealer A,West,Metro,2018,2026-05,106.0,111.5,95.1,140.3,32.6,11.8,73.1,0,1,1,12,Reinforcement omission,58.6,0,70.6,1,96.0,Best,
Dealer A,West,Metro,2018,2026-06,93.1,97.6,95.5,117.3,31.8,11.6,74.7,0,1,0,29,Hardware fitment,50.5,0,66.6,2,95.3,Best,
Dealer A,West,Metro,2018,2026-07,92.7,96.7,95.9,121.0,31.8,10.2,72.9,1,1,1,14,Reinforcement omission,49.6,0,44.1,2,96.0,Best,
Dealer A,West,Metro,2018,2026-08,90.3,93.3,96.8,108.4,32.3,10.8,72.7,0,5,5,18,Surface mark,46.6,0,60.4,0,95.5,Best,
Dealer A,West,Metro,2018,2026-09,108.4,114.6,94.6,143.1,31.3,10.5,73.2,0,1,1,42,Hardware fitment,62.5,0,43.6,0,94.4,Best,
Dealer B,West,Metro,2019,2025-10,84.0,87.8,95.7,103.0,30.1,12.4,71.4,1,1,0,28,Hardware fitment,47.1,0,56.2,2,62.6,Brand risk,
Dealer B,West,Metro,2019,2025-11,96.2,100.4,95.8,133.3,30.6,10.9,73.9,0,5,4,50,Reinforcement omission,60.9,0,60.7,1,63.9,Brand risk,
Dealer B,West,Metro,2019,2025-12,88.5,92.1,96.1,111.8,34.7,10.7,74.6,0,2,2,42,Reinforcement omission,47.8,0,46.8,2,63.7,Brand risk,
Dealer B,West,Metro,2019,2026-01,91.4,95.6,95.7,116.1,30.1,10.1,70.8,1,2,1,29,Reinforcement omission,67.0,0,78.0,1,63.1,Brand risk,
Dealer B,West,Metro,2019,2026-02,83.9,86.8,96.7,103.5,34.0,10.6,71.7,0,1,0,25,Hardware fitment,47.2,0,64.9,2,63.4,Brand risk,
Dealer B,West,Metro,2019,2026-03,96.2,100.2,96.0,133.9,35.8,10.2,72.4,0,4,3,41,Surface mark,56.7,0,50.6,0,63.0,Brand risk,
Dealer B,West,Metro,2019,2026-04,84.2,86.6,97.2,111.6,35.1,12.7,74.0,1,1,1,30,Reinforcement omission,64.9,0,79.8,0,62.6,Brand risk,
Dealer B,West,Metro,2019,2026-05,89.3,92.5,96.5,108.6,34.4,12.7,70.4,0,1,1,18,Surface mark,70.7,0,61.2,1,62.5,Brand risk,
Dealer B,West,Metro,2019,2026-06,97.1,100.6,96.5,119.1,31.0,11.4,72.0,1,3,2,46,Reinforcement omission,71.8,0,54.1,0,63.1,Brand risk,
Dealer B,West,Metro,2019,2026-07,82.8,84.8,97.7,113.2,30.6,10.7,74.3,0,1,0,35,Hardware fitment,43.3,0,57.2,1,63.2,Brand risk,
Dealer B,West,Metro,2019,2026-08,94.2,98.1,96.1,128.1,30.7,11.3,72.6,0,3,3,42,Reinforcement omission,49.1,0,50.3,0,62.3,Brand risk,
Dealer B,West,Metro,2019,2026-09,89.0,91.3,97.4,120.7,32.1,11.4,70.4,0,2,1,30,Surface mark,69.8,0,41.9,0,63.9,Brand risk,
Dealer C,West,Tier-2,2020,2025-10,74.1,78.4,94.5,96.7,32.6,11.2,72.1,0,1,0,22,Hardware fitment,39.8,36,60.0,1,83.7,Credit,
Dealer C,West,Tier-2,2020,2025-11,63.6,66.3,95.9,84.6,35.7,13.0,73.4,1,1,1,37,Hardware fitment,31.9,58,63.6,2,85.0,Credit,
Dealer C,West,Tier-2,2020,2025-12,63.4,65.9,96.2,79.8,33.2,10.1,73.7,0,0,0,0,None,41.2,46,67.3,0,83.3,Credit,
Dealer C,West,Tier-2,2020,2026-01,74.3,79.1,93.9,102.8,35.2,10.4,73.8,1,3,3,39,Hardware fitment,54.2,70,70.9,1,84.1,Credit,
Dealer C,West,Tier-2,2020,2026-02,74.6,78.4,95.2,97.0,33.3,11.7,71.2,1,1,1,41,Reinforcement omission,58.8,50,74.5,0,83.6,Credit,
Dealer C,West,Tier-2,2020,2026-03,63.3,65.9,96.1,82.7,32.2,11.0,73.9,1,2,1,17,Surface mark,32.3,39,78.2,2,83.5,Credit,
Dealer C,West,Tier-2,2020,2026-04,74.8,78.2,95.6,104.5,34.6,10.7,73.1,0,3,3,15,Reinforcement omission,50.1,36,81.8,1,83.6,Credit,
Dealer C,West,Tier-2,2020,2026-05,69.8,72.6,96.2,91.5,35.5,12.5,73.5,1,2,1,27,Hardware fitment,44.8,78,85.5,0,83.3,Credit,
Dealer C,West,Tier-2,2020,2026-06,66.2,71.0,93.2,79.5,33.9,10.9,70.5,1,1,0,31,Reinforcement omission,39.6,48,89.1,2,84.6,Credit,
Dealer C,West,Tier-2,2020,2026-07,73.5,78.4,93.8,96.9,31.6,11.0,72.3,1,0,0,0,None,51.3,62,92.7,1,83.8,Credit,
Dealer C,West,Tier-2,2020,2026-08,69.4,72.8,95.3,87.5,30.3,11.1,71.1,0,0,0,0,None,49.8,64,96.4,1,83.9,Credit,
Dealer C,West,Tier-2,2020,2026-09,68.1,72.7,93.7,91.1,33.5,12.8,70.6,0,1,0,30,Hardware fitment,43.3,107,100.0,0,83.3,Credit,
Dealer D,West,Metro,2015,2025-10,84.6,88.3,95.8,114.9,30.9,12.8,71.9,1,3,3,34,Surface mark,46.4,0,63.6,1,84.3,Stable,
Dealer D,West,Metro,2015,2025-11,86.2,88.6,97.3,104.3,33.0,10.9,73.2,0,0,0,0,None,52.9,0,52.5,1,83.2,Stable,
Dealer D,West,Metro,2015,2025-12,85.1,88.9,95.8,103.1,32.5,10.9,74.3,1,0,0,0,None,48.6,0,43.5,0,84.4,Stable,
Dealer D,West,Metro,2015,2026-01,92.2,96.0,96.0,115.2,34.7,12.7,71.5,0,2,1,30,Surface mark,51.2,0,47.7,1,84.4,Stable,
Dealer D,West,Metro,2015,2026-02,79.7,83.4,95.6,100.2,33.1,11.8,71.9,0,0,0,0,None,62.3,0,58.0,0,82.7,Stable,
Dealer D,West,Metro,2015,2026-03,86.6,90.7,95.6,116.9,31.2,10.8,74.5,1,1,0,23,Reinforcement omission,64.9,0,58.9,0,83.2,Stable,
Dealer D,West,Metro,2015,2026-04,77.5,79.8,97.2,98.0,33.7,11.8,70.5,1,0,0,0,None,50.9,0,73.8,2,82.7,Stable,
Dealer D,West,Metro,2015,2026-05,84.9,88.3,96.2,117.3,35.0,10.7,71.6,1,4,4,18,Reinforcement omission,52.7,0,59.4,2,83.9,Stable,
Dealer D,West,Metro,2015,2026-06,80.4,82.7,97.2,99.6,35.4,12.1,74.2,0,1,1,38,Surface mark,55.7,0,46.8,2,83.3,Stable,
Dealer D,West,Metro,2015,2026-07,83.9,88.1,95.2,103.4,31.4,11.3,72.5,0,1,1,48,Hardware fitment,64.8,0,69.7,0,83.8,Stable,
Dealer D,West,Metro,2015,2026-08,85.2,87.8,97.0,118.8,30.6,12.6,71.4,1,4,3,45,Hardware fitment,45.7,0,64.0,0,84.2,Stable,
Dealer D,West,Metro,2015,2026-09,89.4,94.0,95.1,114.4,30.1,12.2,72.5,0,2,2,25,Reinforcement omission,62.7,0,64.4,2,83.9,Stable,
