Transaction_ID,Date,Department,Category,Vendor,Cash_Outflow_INR,Budget_Variance_Pct,Approval_Level,Audit_Flag
TXN-00001,2024-01-04,IT,Software Licenses,Vendor_D,394291,-0.33,Level 3,Clear
TXN-00002,2024-02-06,HR,Training,Vendor_C,437405,0.04,Level 3,Clear
TXN-00003,2024-01-07,Marketing,Events,Vendor_G,102867,-2.23,Level 2,Clear
TXN-00004,2024-02-29,HR,Training,Vendor_F,347898,1.96,Level 3,Clear
TXN-00005,2024-03-16,IT,Software Licenses,Vendor_G,406575,-2.55,Level 3,Clear
TXN-00006,2024-03-31,IT,Software Licenses,Vendor_A,213827,4.06,Level 3,Clear
TXN-00007,2024-03-08,Logistics,Warehousing,Vendor_H,414209,-2.81,Level 3,Clear
TXN-00008,2024-03-14,Marketing,Events,Vendor_D,276926,4.68,Level 3,Clear
TXN-00009,2024-01-26,Manufacturing,Raw Material,Vendor_B,321314,2.34,Level 3,Clear
TXN-00010,2024-01-18,Marketing,Digital Ads,Vendor_G,342450,-2.94,Level 3,Clear
TXN-00011,2024-02-01,HR,Training,Vendor_C,35282,-0.74,Level 1,Clear
TXN-00012,2024-03-15,Marketing,Events,Vendor_G,237946,-3.09,Level 3,Clear
TXN-00013,2024-01-29,IT,Software Licenses,Vendor_A,147100,-0.11,Level 2,Clear
TXN-00014,2024-03-23,HR,Training,Vendor_F,349272,-3.96,Level 3,Clear
TXN-00015,2024-02-01,HR,Recruitment,Vendor_F,136750,-2.34,Level 2,Clear
TXN-00016,2024-02-26,Marketing,Digital Ads,Vendor_G,34779,0.43,Level 1,Clear
TXN-00017,2024-02-10,Manufacturing,Raw Material,Vendor_H,58998,-0.92,Level 2,Clear
TXN-00018,2024-02-12,HR,Recruitment,Vendor_D,339008,0.88,Level 3,Clear
TXN-00019,2024-03-01,IT,Hardware,Vendor_F,140133,2.33,Level 2,Clear
TXN-00020,2024-01-25,Logistics,Freight,Vendor_D,223674,1.64,Level 3,Clear
TXN-00021,2024-02-22,Logistics,Freight,Vendor_G,362486,0.12,Level 3,Clear
TXN-00022,2024-01-07,Marketing,Events,Vendor_E,263415,0.93,Level 3,Clear
TXN-00023,2024-01-29,Marketing,Events,Vendor_H,47285,1.39,Level 1,Clear
TXN-00024,2024-02-24,Manufacturing,Equipment Maintenance,Vendor_B,49694,-0.7,Level 1,Clear
TXN-00025,2024-02-24,HR,Recruitment,Vendor_B,334571,-0.65,Level 3,Clear
TXN-00026,2024-01-02,Logistics,Freight,Vendor_H,335227,1.09,Level 3,Clear
TXN-00027,2024-02-20,Manufacturing,Raw Material,Vendor_F,106482,0.24,Level 2,Clear
TXN-00028,2024-01-16,Marketing,Digital Ads,Vendor_C,341494,-4.31,Level 3,Clear
TXN-00029,2024-01-31,HR,Training,Vendor_E,383912,3.31,Level 3,Clear
TXN-00030,2024-01-11,Manufacturing,Equipment Maintenance,Vendor_D,285348,-3.27,Level 3,Clear
TXN-00031,2024-02-08,HR,Training,Vendor_B,313078,1.8,Level 3,Clear
TXN-00032,2024-03-10,Logistics,Warehousing,Vendor_G,114072,3.52,Level 2,Clear
TXN-00033,2024-02-07,Logistics,Freight,Vendor_C,424154,29.16,Level 3,Review_Required
TXN-00034,2024-03-07,HR,Recruitment,Vendor_C,34604,0.31,Level 1,Clear
TXN-00035,2024-01-22,IT,Software Licenses,Vendor_H,235934,4.31,Level 3,Clear
TXN-00036,2024-02-22,Manufacturing,Raw Material,Vendor_D,241385,0.31,Level 3,Clear
