Record_ID,Date,Extruder_ID,Shift,Uptime_Hours,Downtime_Hours,Defect_Rate_Pct,Maintenance_Cost_INR,Material_Waste_Kg,Status_Flag
PRD-0001,2024-03-02,EXT-04,Morning,7.2,0.8,1.79,3727,22,Normal
PRD-0002,2024-03-11,EXT-01,Night,5.8,2.2,4.23,3231,21,Normal
PRD-0003,2024-01-27,EXT-01,Morning,5.7,2.3,3.46,2110,38,Normal
PRD-0004,2024-01-28,EXT-02,Morning,7.4,0.6,3.68,3887,23,Normal
PRD-0005,2024-03-29,EXT-03,Morning,5.3,2.7,2.38,1712,40,Normal
PRD-0006,2024-01-28,EXT-03,Night,4.6,3.4,8.3,12890,88,High_Defect
PRD-0007,2024-01-27,EXT-02,Morning,5.0,3.0,2.09,4088,43,Normal
PRD-0008,2024-02-02,EXT-03,Evening,5.6,2.4,2.26,4823,44,Normal
PRD-0009,2024-01-11,EXT-02,Evening,7.1,0.9,1.71,4890,12,Normal
PRD-0010,2024-02-18,EXT-05,Morning,6.5,1.5,1.59,2562,20,Normal
PRD-0011,2024-01-17,EXT-05,Night,5.9,2.1,1.95,4748,45,Normal
PRD-0012,2024-03-07,EXT-05,Morning,7.6,0.4,4.05,2522,35,Normal
PRD-0013,2024-03-02,EXT-05,Morning,5.0,3.0,4.44,2863,12,Normal
PRD-0014,2024-03-18,EXT-02,Night,7.2,0.8,4.52,4893,38,Normal
PRD-0015,2024-03-02,EXT-01,Morning,7.9,0.1,1.78,4956,24,Normal
PRD-0016,2024-03-01,EXT-02,Morning,7.6,0.4,2.58,1864,16,Normal
PRD-0017,2024-02-14,EXT-03,Evening,6.0,2.0,1.54,1299,44,Normal
PRD-0018,2024-02-02,EXT-03,Morning,7.5,0.5,1.78,1786,44,Normal
PRD-0019,2024-01-27,EXT-04,Evening,5.2,2.8,0.9,4843,22,Normal
PRD-0020,2024-01-18,EXT-05,Evening,7.7,0.3,0.92,2820,14,Normal
PRD-0021,2024-03-26,EXT-01,Night,7.7,0.3,2.74,3066,33,Normal
PRD-0022,2024-01-31,EXT-03,Morning,5.6,2.4,3.86,3755,38,Normal
PRD-0023,2024-02-19,EXT-04,Evening,7.1,0.9,3.41,4961,31,Normal
PRD-0024,2024-01-15,EXT-01,Night,5.6,2.4,3.01,4915,20,Normal
PRD-0025,2024-01-09,EXT-04,Morning,6.2,1.8,1.29,4777,19,Normal
PRD-0026,2024-02-25,EXT-01,Morning,8.0,0.0,4.24,4690,45,Normal
PRD-0027,2024-01-18,EXT-03,Evening,6.7,1.3,1.14,3143,44,Normal
PRD-0028,2024-03-09,EXT-03,Evening,6.1,1.9,2.94,3925,15,Normal
PRD-0029,2024-01-12,EXT-04,Night,5.1,2.9,3.36,2331,50,Normal
PRD-0030,2024-03-16,EXT-05,Night,7.4,0.6,3.4,1925,14,Normal
PRD-0031,2024-03-16,EXT-03,Morning,7.1,0.9,2.12,1828,16,Normal
PRD-0032,2024-03-24,EXT-03,Evening,5.5,2.5,0.99,1662,28,Normal
