Order_ID,Order_Date,Distributor_ID,Region,Product_Line,Order_Volume_Units,Revenue_INR,Fulfillment_TAT_Days,Status
ORD-0001,2024-02-22,DIST-102,South,uPVC_Window_Profile,76,169252,2,Delivered
ORD-0002,2024-02-28,DIST-112,East,uPVC_Window_Profile,272,494768,7,Delivered
ORD-0003,2024-01-27,DIST-149,East,Sliding_System,236,424328,15,Delayed
ORD-0004,2024-03-05,DIST-136,East,uPVC_Door_Profile,266,647710,3,Delivered
ORD-0005,2024-02-25,DIST-126,North,Sliding_System,157,245705,4,Delivered
ORD-0006,2024-01-18,DIST-117,East,Casement_System,444,958152,6,Delivered
ORD-0007,2024-03-26,DIST-120,East,uPVC_Door_Profile,162,203148,6,Delivered
ORD-0008,2024-02-21,DIST-100,South,Casement_System,126,266616,6,Delivered
ORD-0009,2024-01-16,DIST-134,West,Casement_System,240,342000,4,Delivered
ORD-0010,2024-03-05,DIST-122,South,uPVC_Window_Profile,233,280998,7,Delivered
ORD-0011,2024-02-07,DIST-150,South,Sliding_System,248,336784,4,Delivered
ORD-0012,2024-01-01,DIST-135,West,Sliding_System,255,429165,7,Delivered
ORD-0013,2024-02-21,DIST-121,West,uPVC_Door_Profile,296,521552,2,Delivered
ORD-0014,2024-02-12,DIST-139,West,Sliding_System,92,189152,6,Delivered
ORD-0015,2024-03-21,DIST-133,East,uPVC_Door_Profile,195,327405,7,Delivered
ORD-0016,2024-01-05,DIST-142,West,Sliding_System,99,152559,4,Delivered
ORD-0017,2024-02-18,DIST-140,West,Sliding_System,105,218295,2,Delivered
ORD-0018,2024-03-17,DIST-127,South,uPVC_Door_Profile,299,719394,6,Delivered
ORD-0019,2024-03-28,DIST-118,North,uPVC_Window_Profile,369,485235,7,Delivered
ORD-0020,2024-03-05,DIST-100,South,uPVC_Door_Profile,317,487863,7,Delivered
ORD-0021,2024-03-05,DIST-103,North,Sliding_System,253,409354,3,Delivered
ORD-0022,2024-01-26,DIST-134,West,uPVC_Door_Profile,89,219207,3,Delivered
ORD-0023,2024-02-11,DIST-115,West,Casement_System,481,955747,3,Delivered
ORD-0024,2024-01-06,DIST-105,East,uPVC_Door_Profile,230,420670,4,Delivered
ORD-0025,2024-01-08,DIST-144,East,Sliding_System,396,887832,10,Delayed
ORD-0026,2024-02-13,DIST-119,West,uPVC_Door_Profile,318,527880,2,Delivered
ORD-0027,2024-02-09,DIST-135,North,Casement_System,475,765700,3,Delivered
ORD-0028,2024-03-23,DIST-143,East,Sliding_System,478,731340,13,Delayed
ORD-0029,2024-01-24,DIST-109,West,uPVC_Door_Profile,231,470778,7,Delivered
ORD-0030,2024-02-07,DIST-118,North,Sliding_System,234,457938,4,Delivered
ORD-0031,2024-02-18,DIST-104,West,uPVC_Window_Profile,444,940392,4,Delivered
ORD-0032,2024-03-18,DIST-120,West,uPVC_Door_Profile,378,456246,7,Delivered
ORD-0033,2024-02-15,DIST-137,East,Casement_System,446,889770,5,Delivered
ORD-0034,2024-01-26,DIST-144,West,uPVC_Window_Profile,436,1014136,3,Delivered
ORD-0035,2024-03-01,DIST-129,North,Sliding_System,212,293832,3,Delivered
ORD-0036,2024-01-14,DIST-134,South,uPVC_Door_Profile,125,255250,4,Delivered
